ID,Gender
AVPEPUDEA0003,F
AVPEPUDEA0005,M
AVPEPUDEA0007,F
AVPEPUDEA0008,F
AVPEPUDEA0009,F
AVPEPUDEA0010,F
AVPEPUDEA0011,F
AVPEPUDEA0013,M
AVPEPUDEA0014,F
AVPEPUDEA0015,F
AVPEPUDEA0016,M
AVPEPUDEA0017,M
AVPEPUDEA0020,F
AVPEPUDEA0021,F
AVPEPUDEA0023,M
AVPEPUDEA0024,M
AVPEPUDEA0025,M
AVPEPUDEA0029,F
AVPEPUDEA0030,M
AVPEPUDEA0031,F
AVPEPUDEA0032,M
AVPEPUDEA0034,M
AVPEPUDEA0035,F
AVPEPUDEA0037,M
AVPEPUDEA0038,M
AVPEPUDEA0039,M
AVPEPUDEA0041,M
AVPEPUDEA0042,F
AVPEPUDEA0043,M
AVPEPUDEA0045,F
AVPEPUDEA0046,M
AVPEPUDEA0047,F
AVPEPUDEA0048,F
AVPEPUDEA0049,M
AVPEPUDEA0052,F
AVPEPUDEA0054,F
AVPEPUDEA0055,M
AVPEPUDEA0057,M
AVPEPUDEA0058,M
AVPEPUDEA0059,F
AVPEPUDEA0001,M
AVPEPUDEA0022,M
AVPEPUDEA0056,M
AVPEPUDEA0027,M
AVPEPUDEA0053,M
AVPEPUDEA0002,F
AVPEPUDEA0006,F
AVPEPUDEA0051,F
AVPEPUDEA0026,F
AVPEPUDEA0050,F
AVPEPUDEAC0016,F
AVPEPUDEAC0045,M
AVPEPUDEAC0034,M
AVPEPUDEAC0051,M
AVPEPUDEAC0020,F
AVPEPUDEAC0054,F
AVPEPUDEAC0029,F
AVPEPUDEAC0028,F
AVPEPUDEAC0037,M
AVPEPUDEAC0022,M
AVPEPUDEAC0001,F
AVPEPUDEAC0003,M
AVPEPUDEAC0004,F
AVPEPUDEAC0005,M
AVPEPUDEAC0006,F
AVPEPUDEAC0007,F
AVPEPUDEAC0008,F
AVPEPUDEAC0010,F
AVPEPUDEAC0011,F
AVPEPUDEAC0012,F
AVPEPUDEAC0013,F
AVPEPUDEAC0014,F
AVPEPUDEAC0015,F
AVPEPUDEAC0017,F
AVPEPUDEAC0018,F
AVPEPUDEAC0019,F
AVPEPUDEAC0021,M
AVPEPUDEAC0023,F
AVPEPUDEAC0024,F
AVPEPUDEAC0025,F
AVPEPUDEAC0026,M
AVPEPUDEAC0027,M
AVPEPUDEAC0030,F
AVPEPUDEAC0031,M
AVPEPUDEAC0033,M
AVPEPUDEAC0035,M
AVPEPUDEAC0039,M
AVPEPUDEAC0040,M
AVPEPUDEAC0041,M
AVPEPUDEAC0042,M
AVPEPUDEAC0043,M
AVPEPUDEAC0044,M
AVPEPUDEAC0046,M
AVPEPUDEAC0047,M
AVPEPUDEAC0048,M
AVPEPUDEAC0049,M
AVPEPUDEAC0050,M
AVPEPUDEAC0052,M
AVPEPUDEAC0053,F
AVPEPUDEAC0057,F
0004,M
0006,M
0008,M
0009,M
0011,F
0012,F
0014,M
0015,F
0016,M
0017,M
0020,M
0021,M
0022,M
0023,M
0024,M
0025,F
0026,M
0027,F
0028,F
0029,F
0030,M
0031,F
0032,F
0033,M
0035,M
0037,F
0038,M
0039,M
0043,F
0044,M
0046,F
0047,M
0058,M
0066,M
0067,M
0070,F
0077,M
0078,M
0079,M
0109,M
0111,M
0117,F
0034,M
0036,F
0045,M
0048,M
0051,M
0052,F
0053,F
0054,F
0055,M
0056,F
0062,F
0063,F
0064,M
0065,F
0071,F
0073,M
0074,M
0075,F
0076,M
0080,M
0081,M
0083,M
0085,F
0086,F
0087,M
0105,M
0112,F
0118,F
0120,F
0122,F
0128,M
0129,F
0130,M
0131,M
0132,F
0133,F
0135,M
0136,M
0137,M
0138,M
0139,M
0141,M
0142,M
0143,F
0144,F
0145,M
0108,M
0041,M
0007,M
0019,M
0115,M
0010,F
0013,F
0042,F
0018,F
0040,F
0113,F
0049,F
0116,F
0061,F
0072,F
0140,M
0082,F
0134,M
0060,M
