Setting: run_5seeds_all
Task: Sustained vowel /a/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5455	0.0378	0.0824
Combined	F1	0.6329	0.0273	0.0856
Combined	Precision	0.5462	0.0292	0.0575
Combined	AUC	0.5749	0.0354	0.1119
Combined	Sensitivity	0.7845	0.0323	0.1905
Combined	Specificity	0.2912	0.0607	0.2020
Combined	BalancedAccuracy	0.5379	0.0378	0.0886
PC-GITA	Accuracy	0.5856	0.0400	0.1081
PC-GITA	F1	0.6607	0.0193	0.1102
PC-GITA	Precision	0.5639	0.0364	0.0969
PC-GITA	AUC	0.7165	0.0223	0.1784
PC-GITA	Sensitivity	0.8400	0.0229	0.2173
PC-GITA	Specificity	0.3311	0.0987	0.2190
PC-GITA	BalancedAccuracy	0.5856	0.0400	0.1081
NeuroVoz	Accuracy	0.5075	0.0415	0.1559
NeuroVoz	F1	0.5950	0.0532	0.1868
NeuroVoz	Precision	0.5211	0.0525	0.1640
NeuroVoz	AUC	0.4380	0.0668	0.2299
NeuroVoz	Sensitivity	0.7424	0.0758	0.2820
NeuroVoz	Specificity	0.2533	0.0868	0.2773
NeuroVoz	BalancedAccuracy	0.4979	0.0386	0.1573
