Setting: run_5seeds_allPDval
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.7424	0.0194	0.0761
Combined	F1	0.7682	0.0045	0.0647
Combined	Precision	0.7150	0.0334	0.0908
Combined	AUC	0.8589	0.0194	0.0504
Combined	Sensitivity	0.8622	0.0346	0.1275
Combined	Specificity	0.6228	0.0686	0.2026
Combined	BalancedAccuracy	0.7425	0.0177	0.0752
PC-GITA	Accuracy	0.8068	0.0235	0.1205
PC-GITA	F1	0.8363	0.0196	0.0893
PC-GITA	Precision	0.8021	0.0348	0.1467
PC-GITA	AUC	0.9144	0.0192	0.0820
PC-GITA	Sensitivity	0.9053	0.0532	0.0938
PC-GITA	Specificity	0.7007	0.0836	0.2652
PC-GITA	BalancedAccuracy	0.8030	0.0271	0.1250
NeuroVoz	Accuracy	0.7071	0.0276	0.1105
NeuroVoz	F1	0.7278	0.0198	0.1194
NeuroVoz	Precision	0.6797	0.0306	0.1265
NeuroVoz	AUC	0.8340	0.0221	0.1004
NeuroVoz	Sensitivity	0.8353	0.0397	0.1820
NeuroVoz	Specificity	0.5765	0.0677	0.2610
NeuroVoz	BalancedAccuracy	0.7059	0.0214	0.1091
