task	run	fold	F1	AUC
folds_tsv_DDK_ANALYSIS_PATAKA	1	1	0.5	0.533333333333
folds_tsv_DDK_ANALYSIS_PATAKA	1	2	0.615384615385	0.633333333333
folds_tsv_DDK_ANALYSIS_PATAKA	1	3	0.5	0.4
folds_tsv_DDK_ANALYSIS_PATAKA	1	4	0.5	0.611111111111
folds_tsv_DDK_ANALYSIS_PATAKA	1	5	0.4	0.583333333333
folds_tsv_DDK_ANALYSIS_PATAKA	2	1	0.75	0.566666666667
folds_tsv_DDK_ANALYSIS_PATAKA	2	2	0.5	0.666666666667
folds_tsv_DDK_ANALYSIS_PATAKA	2	3	0.666666666667	0.9
folds_tsv_DDK_ANALYSIS_PATAKA	2	4	0.8	0.75
folds_tsv_DDK_ANALYSIS_PATAKA	2	5	0.666666666667	0.944444444444
folds_tsv_DDK_ANALYSIS_PATAKA	3	1	0.666666666667	0.6
folds_tsv_DDK_ANALYSIS_PATAKA	3	2	0.5	0.6
folds_tsv_DDK_ANALYSIS_PATAKA	3	3	0.615384615385	0.7
folds_tsv_DDK_ANALYSIS_PATAKA	3	4	0.615384615385	0.805555555556
folds_tsv_DDK_ANALYSIS_PATAKA	3	5	0.666666666667	0.611111111111
folds_tsv_DDK_ANALYSIS_PATAKA	4	1	0.6	0.7
folds_tsv_DDK_ANALYSIS_PATAKA	4	2	0.625	0.566666666667
folds_tsv_DDK_ANALYSIS_PATAKA	4	3	0.727272727273	0.766666666667
folds_tsv_DDK_ANALYSIS_PATAKA	4	4	0.75	0.861111111111
folds_tsv_DDK_ANALYSIS_PATAKA	4	5	0.545454545455	0.611111111111
folds_tsv_DDK_ANALYSIS_PATAKA	5	1	0.714285714286	0.6
folds_tsv_DDK_ANALYSIS_PATAKA	5	2	0.285714285714	0.466666666667
folds_tsv_DDK_ANALYSIS_PATAKA	5	3	0.571428571429	0.566666666667
folds_tsv_DDK_ANALYSIS_PATAKA	5	4	0.769230769231	0.75
folds_tsv_DDK_ANALYSIS_PATAKA	5	5	0.5	0.472222222222
folds_tsv_SENTENCES	1	1	0.598870056497	0.502497502498
folds_tsv_SENTENCES	1	2	0.666666666667	0.755752794214
folds_tsv_SENTENCES	1	3	0.625	0.682795698925
folds_tsv_SENTENCES	1	4	0.649214659686	0.663872452334
folds_tsv_SENTENCES	1	5	0.6375	0.765164399093
folds_tsv_SENTENCES	2	1	0.543046357616	0.538128538129
folds_tsv_SENTENCES	2	2	0.768292682927	0.848783694938
folds_tsv_SENTENCES	2	3	0.612716763006	0.658602150538
folds_tsv_SENTENCES	2	4	0.666666666667	0.648586456279
folds_tsv_SENTENCES	2	5	0.72	0.834608843537
folds_tsv_SENTENCES	3	1	0.662921348315	0.569347319347
folds_tsv_SENTENCES	3	2	0.732558139535	0.740466798159
folds_tsv_SENTENCES	3	3	0.658227848101	0.73635235732
folds_tsv_SENTENCES	3	4	0.689655172414	0.683760683761
folds_tsv_SENTENCES	3	5	0.780487804878	0.836592970522
folds_tsv_SENTENCES	4	1	0.56	0.516150516151
folds_tsv_SENTENCES	4	2	0.777202072539	0.833168967784
folds_tsv_SENTENCES	4	3	0.623655913978	0.664392059553
folds_tsv_SENTENCES	4	4	0.654708520179	0.597961867193
folds_tsv_SENTENCES	4	5	0.642857142857	0.737244897959
folds_tsv_SENTENCES	5	1	0.567901234568	0.539127539128
folds_tsv_SENTENCES	5	2	0.741116751269	0.86291913215
folds_tsv_SENTENCES	5	3	0.625	0.710504549214
folds_tsv_SENTENCES	5	4	0.675324675325	0.690006574622
folds_tsv_SENTENCES	5	5	0.804469273743	0.869897959184
folds_tsv_SUSTAINED-VOWELS_onlyA123	1	1	0.55	0.421875
