Setting: run_5seeds_early
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6152	0.0577	0.0765
Combined	F1	0.6553	0.0579	0.0907
Combined	Precision	0.5805	0.0467	0.0677
Combined	AUC	0.6671	0.0328	0.1328
Combined	Sensitivity	0.7787	0.0756	0.1758
Combined	Specificity	0.4520	0.0632	0.1597
Combined	BalancedAccuracy	0.6153	0.0600	0.0767
PC-GITA	Accuracy	0.6167	0.0494	0.1298
PC-GITA	F1	0.6746	0.0629	0.0985
PC-GITA	Precision	0.6367	0.0454	0.1709
PC-GITA	AUC	0.6322	0.0798	0.2359
PC-GITA	Sensitivity	0.8200	0.1024	0.1879
PC-GITA	Specificity	0.4133	0.0653	0.3390
PC-GITA	BalancedAccuracy	0.6167	0.0494	0.1298
NeuroVoz	Accuracy	0.6063	0.0571	0.0975
NeuroVoz	F1	0.6290	0.0574	0.1548
NeuroVoz	Precision	0.5533	0.0659	0.1178
NeuroVoz	AUC	0.7125	0.0343	0.1909
NeuroVoz	Sensitivity	0.7767	0.0343	0.2609
NeuroVoz	Specificity	0.4467	0.0839	0.1910
NeuroVoz	BalancedAccuracy	0.6117	0.0569	0.0945
