Setting: run_5seeds_all
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6061	0.0134	0.0628
Combined	F1	0.6588	0.0124	0.0430
Combined	Precision	0.5808	0.0149	0.0541
Combined	AUC	0.6749	0.0136	0.0644
Combined	Sensitivity	0.7864	0.0205	0.1287
Combined	Specificity	0.4328	0.0305	0.1995
Combined	BalancedAccuracy	0.6096	0.0132	0.0667
PC-GITA	Accuracy	0.5850	0.0284	0.0809
PC-GITA	F1	0.6577	0.0318	0.0721
PC-GITA	Precision	0.5694	0.0141	0.0786
PC-GITA	AUC	0.6793	0.0259	0.1413
PC-GITA	Sensitivity	0.8140	0.0546	0.1604
PC-GITA	Specificity	0.3560	0.0399	0.2174
PC-GITA	BalancedAccuracy	0.5850	0.0284	0.0809
NeuroVoz	Accuracy	0.6156	0.0087	0.1243
NeuroVoz	F1	0.6629	0.0102	0.0859
NeuroVoz	Precision	0.5946	0.0144	0.1045
NeuroVoz	AUC	0.6693	0.0119	0.1536
NeuroVoz	Sensitivity	0.7740	0.0223	0.1332
NeuroVoz	Specificity	0.4652	0.0265	0.2438
NeuroVoz	BalancedAccuracy	0.6196	0.0075	0.1300
