Setting: run_5seeds_all
Task: Sustained vowel /a/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5653	0.0289	0.1067
Combined	F1	0.6552	0.0311	0.0800
Combined	Precision	0.5604	0.0217	0.0825
Combined	AUC	0.6093	0.0135	0.1252
Combined	Sensitivity	0.8030	0.0436	0.1012
Combined	Specificity	0.3138	0.0142	0.1929
Combined	BalancedAccuracy	0.5584	0.0266	0.1004
PC-GITA	Accuracy	0.6089	0.0433	0.1508
PC-GITA	F1	0.6910	0.0387	0.1046
PC-GITA	Precision	0.5927	0.0317	0.1257
PC-GITA	AUC	0.6860	0.0310	0.1660
PC-GITA	Sensitivity	0.8489	0.0475	0.1091
PC-GITA	Specificity	0.3689	0.0424	0.2811
PC-GITA	BalancedAccuracy	0.6089	0.0433	0.1508
NeuroVoz	Accuracy	0.5426	0.0213	0.1951
NeuroVoz	F1	0.6330	0.0331	0.1772
NeuroVoz	Precision	0.5506	0.0251	0.1686
NeuroVoz	AUC	0.5270	0.0338	0.2193
NeuroVoz	Sensitivity	0.7603	0.0490	0.2052
NeuroVoz	Specificity	0.2845	0.0342	0.2521
NeuroVoz	BalancedAccuracy	0.5224	0.0185	0.1835
