Setting: run_5seeds_allPDval
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6538	0.0185	0.0519
Combined	F1	0.7136	0.0103	0.0308
Combined	Precision	0.6147	0.0198	0.0528
Combined	AUC	0.7652	0.0040	0.0426
Combined	Sensitivity	0.8703	0.0283	0.1001
Combined	Specificity	0.4387	0.0561	0.1809
Combined	BalancedAccuracy	0.6545	0.0188	0.0519
PC-GITA	Accuracy	0.6241	0.0228	0.0614
PC-GITA	F1	0.7054	0.0151	0.0457
PC-GITA	Precision	0.6039	0.0285	0.0522
PC-GITA	AUC	0.7291	0.0193	0.0997
PC-GITA	Sensitivity	0.8720	0.0403	0.1132
PC-GITA	Specificity	0.3627	0.0686	0.1452
PC-GITA	BalancedAccuracy	0.6173	0.0203	0.0638
NeuroVoz	Accuracy	0.6699	0.0208	0.0812
NeuroVoz	F1	0.7208	0.0126	0.0461
NeuroVoz	Precision	0.6320	0.0267	0.0947
NeuroVoz	AUC	0.7888	0.0073	0.0696
NeuroVoz	Sensitivity	0.8692	0.0246	0.1014
NeuroVoz	Specificity	0.4733	0.0579	0.2379
NeuroVoz	BalancedAccuracy	0.6713	0.0224	0.0814
