Setting: run_5seeds_allsubset
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6509	0.0527	0.0790
Combined	F1	0.6793	0.0383	0.0948
Combined	Precision	0.6272	0.0769	0.0810
Combined	AUC	0.7271	0.0500	0.0985
Combined	Sensitivity	0.7880	0.0701	0.1888
Combined	Specificity	0.5120	0.1271	0.1402
Combined	BalancedAccuracy	0.6500	0.0500	0.0836
PC-GITA	Accuracy	0.6300	0.0718	0.1045
PC-GITA	F1	0.7007	0.0444	0.0879
PC-GITA	Precision	0.6200	0.0796	0.1088
PC-GITA	AUC	0.7156	0.0368	0.1233
PC-GITA	Sensitivity	0.8800	0.0686	0.1803
PC-GITA	Specificity	0.3800	0.1720	0.2565
PC-GITA	BalancedAccuracy	0.6300	0.0718	0.1045
NeuroVoz	Accuracy	0.6780	0.1122	0.1481
NeuroVoz	F1	0.6742	0.1099	0.1554
NeuroVoz	Precision	0.7020	0.1559	0.1801
NeuroVoz	AUC	0.7314	0.0829	0.1723
NeuroVoz	Sensitivity	0.7133	0.1166	0.2331
NeuroVoz	Specificity	0.6067	0.1682	0.2945
NeuroVoz	BalancedAccuracy	0.6600	0.1105	0.1491
