Setting: run_5seeds_allsubset
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5660	0.0135	0.0390
Combined	F1	0.6500	0.0088	0.0227
Combined	Precision	0.5427	0.0113	0.0432
Combined	AUC	0.6444	0.0185	0.0641
Combined	Sensitivity	0.8331	0.0169	0.1110
Combined	Specificity	0.3155	0.0325	0.1615
Combined	BalancedAccuracy	0.5743	0.0127	0.0404
PC-GITA	Accuracy	0.5550	0.0218	0.0528
PC-GITA	F1	0.6596	0.0164	0.0485
PC-GITA	Precision	0.5369	0.0154	0.0362
PC-GITA	AUC	0.6507	0.0330	0.1402
PC-GITA	Sensitivity	0.8733	0.0357	0.1190
PC-GITA	Specificity	0.2367	0.0590	0.1518
PC-GITA	BalancedAccuracy	0.5550	0.0218	0.0528
NeuroVoz	Accuracy	0.5684	0.0166	0.0584
NeuroVoz	F1	0.6419	0.0129	0.0264
NeuroVoz	Precision	0.5443	0.0158	0.0633
NeuroVoz	AUC	0.6408	0.0212	0.1012
NeuroVoz	Sensitivity	0.8126	0.0197	0.1140
NeuroVoz	Specificity	0.3483	0.0274	0.1895
NeuroVoz	BalancedAccuracy	0.5805	0.0142	0.0669
