epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6495049595832825,0.6546823382377625,1.0934611558914185,0.5974025726318359,0.7012143731117249,0.6681047081947327
1,0.0,0.0,0.0,NA,NA,NA
2,0.699009895324707,0.7641726136207581,0.6590317487716675,0.5649350881576538,0.5522010326385498,0.6848801374435425
3,0.0,0.0,0.0,NA,NA,NA
4,0.7386138439178467,0.806337296962738,0.5600606203079224,0.6298701167106628,0.6194130182266235,0.6698317527770996
5,0.0,0.0,0.0,NA,NA,NA
6,0.7861385941505432,0.8749255537986755,0.4433538615703583,0.6363636255264282,0.6471580266952515,0.8340247869491577
7,0.0,0.0,0.0,NA,NA,NA
8,0.7762376070022583,0.8793725371360779,0.4567486643791199,0.5064935088157654,0.5086017847061157,1.1263374090194702
9,0.0,0.0,0.0,NA,NA,NA
10,0.8198019862174988,0.8908157348632812,0.4466816782951355,0.5649350881576538,0.5779220461845398,1.0104730129241943
11,0.0,0.0,0.0,NA,NA,NA
12,0.8297029733657837,0.9228470921516418,0.3598460555076599,0.6168830990791321,0.6198347210884094,1.308335781097412
13,0.0,0.0,0.0,NA,NA,NA
14,0.8633663654327393,0.9250039458274841,0.37140366435050964,0.5324675440788269,0.5211671590805054,1.6073579788208008
15,0.0,0.0,0.0,NA,NA,NA
16,0.8653465509414673,0.9408783912658691,0.3232276439666748,0.5064935088157654,0.5457918643951416,1.708151936531067
