Setting: run_5seeds_early
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6509	0.0520	0.1259
Combined	F1	0.6514	0.0540	0.1643
Combined	Precision	0.6151	0.0597	0.1238
Combined	AUC	0.7276	0.0339	0.1292
Combined	Sensitivity	0.7293	0.0825	0.2457
Combined	Specificity	0.5800	0.1201	0.1315
Combined	BalancedAccuracy	0.6547	0.0508	0.1246
PC-GITA	Accuracy	0.6600	0.0309	0.1110
PC-GITA	F1	0.7048	0.0360	0.1062
PC-GITA	Precision	0.6260	0.0252	0.0849
PC-GITA	AUC	0.7167	0.0304	0.0885
PC-GITA	Sensitivity	0.8400	0.0879	0.1660
PC-GITA	Specificity	0.4800	0.0980	0.2116
PC-GITA	BalancedAccuracy	0.6600	0.0309	0.1110
NeuroVoz	Accuracy	0.6557	0.0718	0.1887
NeuroVoz	F1	0.6025	0.0923	0.2937
NeuroVoz	Precision	0.5740	0.1160	0.2977
NeuroVoz	AUC	0.7825	0.0579	0.2048
NeuroVoz	Sensitivity	0.6800	0.1002	0.3576
NeuroVoz	Specificity	0.6567	0.1515	0.1933
NeuroVoz	BalancedAccuracy	0.6683	0.0706	0.1867
