Setting: run_5seeds_early
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5427	0.0161	0.0375
Combined	F1	0.6435	0.0140	0.0346
Combined	Precision	0.5258	0.0139	0.0397
Combined	AUC	0.6137	0.0251	0.0636
Combined	Sensitivity	0.8611	0.0286	0.1453
Combined	Specificity	0.2434	0.0292	0.1820
Combined	BalancedAccuracy	0.5522	0.0149	0.0334
PC-GITA	Accuracy	0.5340	0.0140	0.0731
PC-GITA	F1	0.6442	0.0127	0.0710
PC-GITA	Precision	0.5223	0.0110	0.0525
PC-GITA	AUC	0.5827	0.0297	0.1675
PC-GITA	Sensitivity	0.8600	0.0226	0.1569
PC-GITA	Specificity	0.2080	0.0249	0.1653
PC-GITA	BalancedAccuracy	0.5340	0.0140	0.0731
NeuroVoz	Accuracy	0.5397	0.0264	0.0637
NeuroVoz	F1	0.6383	0.0222	0.0385
NeuroVoz	Precision	0.5233	0.0210	0.0633
NeuroVoz	AUC	0.6222	0.0201	0.1370
NeuroVoz	Sensitivity	0.8600	0.0396	0.1482
NeuroVoz	Specificity	0.2500	0.0400	0.2190
NeuroVoz	BalancedAccuracy	0.5550	0.0234	0.0653
