Setting: run_5seeds_all
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6933	0.0124	0.0732
Combined	F1	0.7051	0.0157	0.0747
Combined	Precision	0.6678	0.0138	0.0735
Combined	AUC	0.7719	0.0113	0.1002
Combined	Sensitivity	0.7616	0.0288	0.1152
Combined	Specificity	0.6264	0.0260	0.1306
Combined	BalancedAccuracy	0.6940	0.0121	0.0743
PC-GITA	Accuracy	0.7043	0.0229	0.0882
PC-GITA	F1	0.7263	0.0280	0.0851
PC-GITA	Precision	0.7006	0.0224	0.1141
PC-GITA	AUC	0.7980	0.0143	0.0889
PC-GITA	Sensitivity	0.8033	0.0337	0.1371
PC-GITA	Specificity	0.6053	0.0332	0.2121
PC-GITA	BalancedAccuracy	0.7043	0.0229	0.0882
NeuroVoz	Accuracy	0.6893	0.0123	0.1055
NeuroVoz	F1	0.6970	0.0139	0.0909
NeuroVoz	Precision	0.6724	0.0225	0.1069
NeuroVoz	AUC	0.7717	0.0085	0.1442
NeuroVoz	Sensitivity	0.7450	0.0307	0.1286
NeuroVoz	Specificity	0.6329	0.0338	0.1795
NeuroVoz	BalancedAccuracy	0.6889	0.0134	0.1062
