Setting: run_5seeds_allPDval
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6785	0.0378	0.1494
Combined	F1	0.7128	0.0384	0.1312
Combined	Precision	0.6709	0.0291	0.1688
Combined	AUC	0.7889	0.0204	0.1335
Combined	Sensitivity	0.7800	0.0542	0.1436
Combined	Specificity	0.5787	0.0416	0.2336
Combined	BalancedAccuracy	0.6793	0.0374	0.1509
PC-GITA	Accuracy	0.7720	0.0476	0.1395
PC-GITA	F1	0.8070	0.0364	0.1140
PC-GITA	Precision	0.7620	0.0378	0.1641
PC-GITA	AUC	0.9289	0.0259	0.1170
PC-GITA	Sensitivity	0.8933	0.0327	0.1513
PC-GITA	Specificity	0.6267	0.0854	0.2751
PC-GITA	BalancedAccuracy	0.7600	0.0512	0.1438
NeuroVoz	Accuracy	0.5954	0.0559	0.2063
NeuroVoz	F1	0.6042	0.0816	0.2257
NeuroVoz	Precision	0.5673	0.0672	0.2299
NeuroVoz	AUC	0.6833	0.0491	0.2030
NeuroVoz	Sensitivity	0.6667	0.1116	0.2523
NeuroVoz	Specificity	0.5233	0.0867	0.2159
NeuroVoz	BalancedAccuracy	0.5950	0.0595	0.2058
