Setting: run_5seeds_allPDval
Task: Sentence
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.7602	0.0229	0.0596
Combined	F1	0.7877	0.0165	0.0361
Combined	Precision	0.7214	0.0145	0.0788
Combined	AUC	0.8735	0.0112	0.0370
Combined	Sensitivity	0.8847	0.0151	0.0809
Combined	Specificity	0.6358	0.0345	0.1734
Combined	BalancedAccuracy	0.7602	0.0229	0.0594
PC-GITA	Accuracy	0.7721	0.0162	0.1100
PC-GITA	F1	0.8074	0.0105	0.0890
PC-GITA	Precision	0.7434	0.0163	0.1251
PC-GITA	AUC	0.8748	0.0093	0.0875
PC-GITA	Sensitivity	0.9013	0.0190	0.0900
PC-GITA	Specificity	0.6307	0.0352	0.2085
PC-GITA	BalancedAccuracy	0.7660	0.0149	0.1091
NeuroVoz	Accuracy	0.7547	0.0296	0.0793
NeuroVoz	F1	0.7763	0.0237	0.0622
NeuroVoz	Precision	0.7167	0.0268	0.0959
NeuroVoz	AUC	0.8785	0.0113	0.0741
NeuroVoz	Sensitivity	0.8745	0.0326	0.1216
NeuroVoz	Specificity	0.6306	0.0449	0.2149
NeuroVoz	BalancedAccuracy	0.7526	0.0294	0.0794
