Setting: run_5seeds_allPDval
Task: Sustained vowel /a/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5982	0.0247	0.0782
Combined	F1	0.6627	0.0269	0.0963
Combined	Precision	0.6045	0.0203	0.0563
Combined	AUC	0.6818	0.0143	0.0935
Combined	Sensitivity	0.7723	0.0508	0.1976
Combined	Specificity	0.3982	0.0748	0.2037
Combined	BalancedAccuracy	0.5853	0.0263	0.0801
PC-GITA	Accuracy	0.6120	0.0252	0.0915
PC-GITA	F1	0.6830	0.0271	0.0727
PC-GITA	Precision	0.6137	0.0405	0.0877
PC-GITA	AUC	0.7333	0.0182	0.1004
PC-GITA	Sensitivity	0.8222	0.0562	0.1672
PC-GITA	Specificity	0.3956	0.0658	0.2268
PC-GITA	BalancedAccuracy	0.6089	0.0247	0.0927
NeuroVoz	Accuracy	0.5847	0.0343	0.1209
NeuroVoz	F1	0.6302	0.0494	0.1746
NeuroVoz	Precision	0.6055	0.0790	0.1658
NeuroVoz	AUC	0.6539	0.0467	0.1917
NeuroVoz	Sensitivity	0.7178	0.0800	0.2575
NeuroVoz	Specificity	0.4109	0.1420	0.2784
NeuroVoz	BalancedAccuracy	0.5643	0.0426	0.1159
