Setting: run_5seeds_allsubset
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6255	0.0183	0.1129
Combined	F1	0.6501	0.0116	0.1275
Combined	Precision	0.5994	0.0200	0.0941
Combined	AUC	0.7287	0.0145	0.1338
Combined	Sensitivity	0.7507	0.0359	0.2164
Combined	Specificity	0.4933	0.0584	0.2286
Combined	BalancedAccuracy	0.6220	0.0131	0.1130
PC-GITA	Accuracy	0.6233	0.0249	0.1529
PC-GITA	F1	0.6789	0.0325	0.1587
PC-GITA	Precision	0.5753	0.0240	0.1347
PC-GITA	AUC	0.8211	0.0379	0.1927
PC-GITA	Sensitivity	0.8533	0.0499	0.2253
PC-GITA	Specificity	0.3933	0.0680	0.2433
PC-GITA	BalancedAccuracy	0.6233	0.0249	0.1529
NeuroVoz	Accuracy	0.6627	0.0259	0.1707
NeuroVoz	F1	0.6506	0.0193	0.2023
NeuroVoz	Precision	0.6680	0.0529	0.2101
NeuroVoz	AUC	0.7419	0.0159	0.2402
NeuroVoz	Sensitivity	0.7033	0.0400	0.2917
NeuroVoz	Specificity	0.5967	0.0531	0.2810
NeuroVoz	BalancedAccuracy	0.6500	0.0175	0.1634
