Setting: run_5seeds_allsubset
Task: Sustained vowel /a/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5568	0.0255	0.0409
Combined	F1	0.6370	0.0465	0.0564
Combined	Precision	0.5525	0.0190	0.0358
Combined	AUC	0.5909	0.0218	0.0833
Combined	Sensitivity	0.7853	0.0962	0.1417
Combined	Specificity	0.3163	0.0833	0.1588
Combined	BalancedAccuracy	0.5508	0.0245	0.0452
PC-GITA	Accuracy	0.6133	0.0364	0.1281
PC-GITA	F1	0.6735	0.0594	0.1398
PC-GITA	Precision	0.5678	0.0376	0.1131
PC-GITA	AUC	0.6480	0.0519	0.2127
PC-GITA	Sensitivity	0.8489	0.0957	0.1914
PC-GITA	Specificity	0.3778	0.0621	0.1782
PC-GITA	BalancedAccuracy	0.6133	0.0364	0.1281
NeuroVoz	Accuracy	0.5078	0.0512	0.1071
NeuroVoz	F1	0.6067	0.0561	0.0945
NeuroVoz	Precision	0.5489	0.0472	0.1224
NeuroVoz	AUC	0.5494	0.0330	0.2262
NeuroVoz	Sensitivity	0.7364	0.1053	0.1740
NeuroVoz	Specificity	0.2501	0.1229	0.2410
NeuroVoz	BalancedAccuracy	0.4933	0.0552	0.1148
