Setting: run_5seeds_early
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.6652	0.0230	0.2042
Combined	F1	0.6915	0.0158	0.1798
Combined	Precision	0.6505	0.0338	0.1895
Combined	AUC	0.7691	0.0150	0.1967
Combined	Sensitivity	0.7627	0.0700	0.1981
Combined	Specificity	0.5760	0.0995	0.2687
Combined	BalancedAccuracy	0.6693	0.0190	0.2035
PC-GITA	Accuracy	0.7467	0.0340	0.1724
PC-GITA	F1	0.7930	0.0126	0.1282
PC-GITA	Precision	0.7453	0.0619	0.1847
PC-GITA	AUC	0.8978	0.0403	0.1294
PC-GITA	Sensitivity	0.9200	0.0499	0.1393
PC-GITA	Specificity	0.5733	0.1083	0.3665
PC-GITA	BalancedAccuracy	0.7467	0.0340	0.1724
NeuroVoz	Accuracy	0.5950	0.0229	0.2457
NeuroVoz	F1	0.5795	0.0424	0.2802
NeuroVoz	Precision	0.5420	0.0342	0.2728
NeuroVoz	AUC	0.7217	0.0363	0.2685
NeuroVoz	Sensitivity	0.6533	0.1002	0.3252
NeuroVoz	Specificity	0.5500	0.1282	0.2355
NeuroVoz	BalancedAccuracy	0.6017	0.0249	0.2404
