Setting: run_5seeds_early
Task: Sustained vowel /a/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.5449	0.0197	0.0723
Combined	F1	0.6259	0.0285	0.0854
Combined	Precision	0.5518	0.0158	0.0641
Combined	AUC	0.5650	0.0151	0.0971
Combined	Sensitivity	0.7753	0.0423	0.2011
Combined	Specificity	0.3025	0.0269	0.2464
Combined	BalancedAccuracy	0.5389	0.0195	0.0711
PC-GITA	Accuracy	0.5567	0.0221	0.1000
PC-GITA	F1	0.6312	0.0406	0.1208
PC-GITA	Precision	0.5320	0.0293	0.0854
PC-GITA	AUC	0.6162	0.0331	0.1420
PC-GITA	Sensitivity	0.8111	0.0544	0.2133
PC-GITA	Specificity	0.3022	0.0406	0.2219
PC-GITA	BalancedAccuracy	0.5567	0.0221	0.1000
NeuroVoz	Accuracy	0.5453	0.0346	0.1247
NeuroVoz	F1	0.6298	0.0225	0.1026
NeuroVoz	Precision	0.5952	0.0221	0.1740
NeuroVoz	AUC	0.5473	0.0212	0.2717
NeuroVoz	Sensitivity	0.7533	0.0410	0.2189
NeuroVoz	Specificity	0.3184	0.0685	0.3229
NeuroVoz	BalancedAccuracy	0.5359	0.0374	0.1301
