Setting: run_5seeds_earlypersp
Task: DDK /pa-ta-ka/
Runs: run_1, run_2, run_3, run_4, run_5
Averaging: mean over folds per run, then mean over runs (unweighted).
The probability column is the positive-class probability; saved predicted_label is used for label metrics.

Cohort	Metric	Mean	RunStd	MeanFoldStd
Combined	Accuracy	0.7024	0.0560	0.0797
Combined	F1	0.7206	0.0359	0.0874
Combined	Precision	0.6787	0.0732	0.0841
Combined	AUC	0.7958	0.0219	0.1041
Combined	Sensitivity	0.7947	0.0376	0.1397
Combined	Specificity	0.6053	0.1421	0.1622
Combined	BalancedAccuracy	0.7000	0.0576	0.0823
PC-GITA	Accuracy	0.8033	0.0400	0.0851
PC-GITA	F1	0.8160	0.0200	0.0746
PC-GITA	Precision	0.8167	0.0966	0.1183
PC-GITA	AUC	0.9289	0.0166	0.0961
PC-GITA	Sensitivity	0.8667	0.0596	0.1513
PC-GITA	Specificity	0.7400	0.1373	0.1913
PC-GITA	BalancedAccuracy	0.8033	0.0400	0.0851
NeuroVoz	Accuracy	0.5927	0.0780	0.1835
NeuroVoz	F1	0.6190	0.0599	0.1997
NeuroVoz	Precision	0.5527	0.0796	0.1941
NeuroVoz	AUC	0.7108	0.0449	0.2185
NeuroVoz	Sensitivity	0.7367	0.0400	0.2577
NeuroVoz	Specificity	0.4433	0.1569	0.2730
NeuroVoz	BalancedAccuracy	0.5900	0.0834	0.1819
